Summary,Description,DateCreated,DateModified,Status,Reporter,Assignee,AffectsVersion,Resolution,CommentBody,CommentBody,CommentBody,CommentBody,CommentBody,CommentBody,CommentBody,CommentBody,CommentBody,CommentBody,CommentBody,CommentBody,CommentBody,CommentBody,CommentBody,CommentBody,CommentBody,CommentBody
'Approved' button on visitor report cannot be stt,"http://www.peerwater.org/projects/110-Arsenic-free-dugwell-PW92SU17-funded-by-Group-Mosaique-Sagney-Canada-/proj_reports/98

Needs to be removed. I 'unapproved' it and it still shows approved after 'Submit'.

Also 'Cancel' takes you to the main report, does not return you to the visitor report.",10/10/2011 09:59:38,10/10/2011 10:46:36,Open,rajesh,rajesh,Wish List,Unresolved,"10/10/11 10:46:27; rajesh; 
in addition to approve, we may want to have a 'remove' to get junk ones off our system.","10/10/11 10:46:29; ajaya; 
changeset:2388","10/10/11 10:46:31; rajesh; 
what to do with the Approve button?

can we make it work? is there a need to?
or 
delete it?","10/10/11 10:46:33; ajaya; 
Update this ticket with whatever we need now.

Changeset:2857
","10/10/11 10:46:36; ajaya; 
changeset:2857 "
allow more than 2 logins per org,"is it possible to open up # of users to more than 2 per org?
how would it change the ui?",10/10/2011 09:59:40,10/10/2011 09:59:42,Closed,rajesh,ajaya,Features for External Funders,Fixed
incremental funding for projects,"we need to set up an incremental funding system:

when an app is approved but not funded, we show it needing funds.
as people fund the app, admin can add funds to the app.
(right now can only convert app from 'approved, not funded' to 'approved funded')

when you click on the icon, you see a link to the app, how much money is requested, and how much is funded, how much is left. (similar to akvo).

of course that brings up the problem of providing a way to fund the app!",10/10/2011 09:59:44,10/10/2011 09:59:44,Open,rajesh,ajaya,Wish List,Unresolved
org view - projects and apps no longer visible after rails 2.2 migration,"compare:
http://www.peerwater.org/organizations/3-El-Porvenir

http://dev.peerwater.org/organizations/3

right column, no info at bottom",10/10/2011 09:59:46,10/10/2011 10:46:40,Closed,rajesh,ajaya,Features for External Funders,Fixed,"10/10/11 10:46:40; ajaya; 
done."
search not working well,"search for Rajesh and you get one contact.

search for Annette and you get 2.

why is that?",10/10/2011 09:59:51,10/10/2011 10:46:53,Closed,rajesh,rajesh,Features for External Funders,Fixed,"10/10/11 10:46:43; ajaya; 
simple. annette is a contact in two diff orgs.","10/10/11 10:46:45; rajesh; 
and so am i, but i don't show up","10/10/11 10:46:47; rajesh; 

also search for 'yemen' there are 2 projects (yemen is the country and in the name) and only one shows up. both apps show.","10/10/11 10:46:49; ajaya; 
Search for Rajesh/Annette. seems fixed.

For Yemen. We don't search for projects in yemen.  It's only project search.  If u want to find everything in yemen, then look under the country results.  ","10/10/11 10:46:51; rajesh; 
on dev,

rajesh|Rajesh shows up once
and annette|Annette twice.","10/10/11 10:46:53; ajaya; 
I was removing the admin from the serach results. 
Now I removed all the contacts from pwx from search results. You two show up under BPR anyway. 
If you want me to include then let me know

changeset:2399"
can't do referrals - error on admin page when you click Referrals,"http://qa.peerwater.org/referrals/pending

 NameError in Referrals#pending

Showing app/views/layouts/new_standard_layout.rhtml where line #25 raised:

undefined local variable or method `active_scaffold_includes' for #<ActionView::Base:0xaba5130>

Extracted source (around line #25):

22: <%else%>
23: <%= javascript_include_merged :base %>
24: <%end%>
25: <%= active_scaffold_includes %>
26: </head>
27: <body>
28: <table align=""center"" cellpadding=""0"" cellspacing=""0"">

RAILS_ROOT: /mnt/apps/qa/releases/20090310175249
Application Trace | Framework Trace | Full Trace

app/views/layouts/new_standard_layout.rhtml:25

vendor/rails/actionpack/lib/action_view/renderable.rb:39:in `send'
vendor/rails/actionpack/lib/action_view/renderable.rb:39:in `render'
vendor/rails/actionpack/lib/action_view/template.rb:73:in `render_template'
vendor/rails/actionpack/lib/action_view/base.rb:256:in `render'
vendor/rails/actionpack/lib/action_view/base.rb:371:in `_render_with_layout'
vendor/rails/actionpack/lib/action_view/base.rb:254:in `render'
vendor/rails/actionpack/lib/action_controller/base.rb:1174:in `render_for_file'
vendor/rails/actionpack/lib/action_controller/base.rb:896:in `render_without_benchmark'
vendor/rails/actionpack/lib/action_controller/benchmarking.rb:51:in `render'
vendor/rails/activesupport/lib/active_support/core_ext/benchmark.rb:8:in `realtime'
vendor/rails/actionpack/lib/action_controller/benchmarking.rb:51:in `render'
vendor/rails/actionpack/lib/action_controller/base.rb:868:in `render_without_benchmark'
vendor/rails/actionpack/lib/action_controller/benchmarking.rb:51:in `render'
vendor/rails/activesupport/lib/active_support/core_ext/benchmark.rb:8:in `realtime'
vendor/rails/actionpack/lib/action_controller/benchmarking.rb:51:in `render'
vendor/rails/actionpack/lib/action_controller/base.rb:1248:in `default_render'
vendor/rails/actionpack/lib/action_controller/base.rb:1254:in `perform_action_without_filters'
vendor/rails/actionpack/lib/action_controller/filters.rb:617:in `call_filters'
vendor/rails/actionpack/lib/action_controller/filters.rb:638:in `run_before_filters'
vendor/rails/actionpack/lib/action_controller/filters.rb:206:in `call'
vendor/rails/actionpack/lib/action_controller/filters.rb:206:in `around_proc'
vendor/rails/activesupport/lib/active_support/callbacks.rb:182:in `call'
vendor/rails/activesupport/lib/active_support/callbacks.rb:182:in `evaluate_method'
vendor/rails/actionpack/lib/action_controller/filters.rb:184:in `call'
vendor/rails/actionpack/lib/action_controller/filters.rb:635:in `run_before_filters'
